Line - Token - Classification
259 - FunctionalComplex - CLASS_NAME
262 - Class: - CLASS
262 - Evaluation - CLASS_NAME
265 - SubClassOf: - SUBCLASS
266 - Activity - CLASS_NAME
266 - , - COMMA
267 - historicallyDependsOn - PROPRIETY
267 - only - ONLY
267 - EvaluationAct - CLASS_NAME
267 - , - COMMA
268 - historicallyDependsOn - PROPRIETY
268 - exactly - QUANTIFIER
268 - 1 - NUMBER
268 - EvaluationAct - CLASS_NAME
271 - Class: - CLASS
271 - EvaluationAct - CLASS_NAME
274 - EquivalentTo: - EQUIVALENT
275 - Relator - CLASS_NAME
276 - and - LOGICAL
276 - ( - LPAR
276 - mediates - PROPRIETY
276 - only - ONLY
276 - ( - LPAR
276 - Evaluated - CLASS_NAME
276 - or - LOGICAL
276 - EvaluationFacility - CLASS_NAME
276 - or - LOGICAL
276 - EvaluationReport - CLASS_NAME
276 - ) - RPAR
276 - ) - RPAR
277 - and - LOGICAL
277 - ( - LPAR
277 - mediates - PROPRIETY
277 - min - QUANTIFIER
277 - 1 - NUMBER
277 - Evaluated - CLASS_NAME
277 - ) - RPAR
278 - and - LOGICAL
278 - ( - LPAR
278 - mediates - PROPRIETY
278 - min - QUANTIFIER
278 - 1 - NUMBER
278 - EvaluationFacility - CLASS_NAME
278 - ) - RPAR
279 - and - LOGICAL
279 - ( - LPAR
279 - mediates - PROPRIETY
279 - min - QUANTIFIER
279 - 1 - NUMBER
279 - EvaluationReport - CLASS_NAME
279 - ) - RPAR
280 - and - LOGICAL
280 - ( - LPAR
280 - historicallyDependsOn - PROPRIETY
280 - min - QUANTIFIER
280 - 1 - NUMBER
280 - Evaluation - CLASS_NAME
280 - ) - RPAR
283 - Class: - CLASS
283 - EvaluationFacility - CLASS_NAME
286 - SubClassOf: - SUBCLASS
287 - IntermediaryParticipant - CLASS_NAME
287 - , - COMMA
288 - emitsReport - PROPRIETY
288 - some - SOME
288 - EvaluationReport - CLASS_NAME
288 - , - COMMA
289 - mediates - PROPRIETY
289 - some - SOME
289 - EvaluationAct - CLASS_NAME
292 - Class: - CLASS
292 - EvaluationReport - CLASS_NAME
295 - SubClassOf: - SUBCLASS
296 - Resource - CLASS_NAME
296 - , - COMMA
297 - mediates - PROPRIETY
297 - some - SOME
297 - EvaluationAct - CLASS_NAME
300 - Class: - CLASS
300 - IntermediaryParticipant - CLASS_NAME
303 - SubClassOf: - SUBCLASS
304 - Actor - CLASS_NAME
307 - Class: - CLASS
307 - InvokeDataOperation - CLASS_NAME
310 - SubClassOf: - SUBCLASS
311 - Relator - CLASS_NAME
311 - , - COMMA
312 - mediates - PROPRIETY
312 - some - SOME
312 - Data - CLASS_NAME
312 - , - COMMA
313 - mediates - PROPRIETY
313 - min - QUANTIFIER
313 - 1 - NUMBER
313 - Connector - CLASS_NAME
313 - , - COMMA
314 - mediates - PROPRIETY
314 - min - QUANTIFIER
314 - 1 - NUMBER
314 - DataCustomer - CLASS_NAME
314 - , - COMMA
315 - mediates - PROPRIETY
315 - min - QUANTIFIER
315 - 1 - NUMBER
315 - DataOperation - CLASS_NAME
315 - , - COMMA
316 - mediates - PROPRIETY
316 - min - QUANTIFIER
316 - 1 - NUMBER
316 - DataSupplier - CLASS_NAME
316 - , - COMMA
317 - mediates - PROPRIETY
317 - min - QUANTIFIER
317 - 1 - NUMBER
317 - DataUsagePolicy - CLASS_NAME
320 - Class: - CLASS
320 - Metadata - CLASS_NAME
323 - SubClassOf: - SUBCLASS
324 - Resource - CLASS_NAME
324 - , - COMMA
325 - describes - PROPRIETY
325 - some - SOME
325 - Data - CLASS_NAME
325 - , - COMMA
326 - mediates - PROPRIETY
326 - exactly - QUANTIFIER
326 - 1 - NUMBER
326 - MetadataAssignment - CLASS_NAME
326 - , - COMMA
327 - mediates - PROPRIETY
327 - exactly - QUANTIFIER
327 - 1 - NUMBER
327 - MetadataRetrival - CLASS_NAME
330 - Class: - CLASS
330 - MetadataAssignment - CLASS_NAME
333 - SubClassOf: - SUBCLASS
334 - Relator - CLASS_NAME
334 - , - COMMA
335 - inheresIn - PROPRIETY
335 - min - QUANTIFIER
335 - 1 - NUMBER
335 - ConditionalCommitment - CLASS_NAME
335 - , - COMMA
336 - mediates - PROPRIETY
336 - min - QUANTIFIER
336 - 1 - NUMBER
336 - BrokerServiceProvider - CLASS_NAME
336 - , - COMMA
337 - mediates - PROPRIETY
337 - min - QUANTIFIER
337 - 1 - NUMBER
337 - DataSupplier - CLASS_NAME
337 - , - COMMA
338 - mediates - PROPRIETY
338 - min - QUANTIFIER
338 - 1 - NUMBER
338 - Metadata - CLASS_NAME
341 - Class: - CLASS
341 - MetadataRetrival - CLASS_NAME
344 - SubClassOf: - SUBCLASS
345 - Relator - CLASS_NAME
345 - , - COMMA
346 - inheresIn - PROPRIETY
346 - some - SOME
346 - ConditionalClaim - CLASS_NAME
346 - , - COMMA
347 - mediates - PROPRIETY
347 - min - QUANTIFIER
347 - 1 - NUMBER
